OrderID,OrderDate,ProductID,CustomerID,Quantity,UnitPriceINR
S2024_001,22-06-2024,P3,C12,1,180000
S2024_002,26-11-2024,P1,C45,1,120000
S2024_003,22-04-2024,P7,C102,1,160000
S2024_004,15-05-2024,P4,C88,1,200000
S2024_005,04-08-2024,P9,C150,1,190000
S2024_006,26-11-2024,P11,C33,1,250000
S2024_007,24-08-2024,P6,C77,1,210000
S2024_008,02-06-2024,P2,C14,2,150000
S2024_009,23-02-2024,P8,C210,1,230000
S2024_010,05-03-2024,P5,C60,1,170000
S2024_011,18-11-2024,P10,C95,1,175000
S2024_012,16-06-2024,P12,C120,1,220000
S2024_013,15-06-2024,P15,C5,1,240000
S2024_014,06-01-2024,P14,C187,1,155000
S2024_015,12-05-2024,P13,C44,1,140000
S2024_016,04-06-2024,P3,C99,1,180000
S2024_017,12-09-2024,P4,C250,1,200000
S2024_018,11-03-2024,P6,C180,1,210000
S2024_019,13-06-2024,P2,C66,1,150000
S2024_020,30-09-2024,P1,C145,1,120000
S2024_021,26-03-2024,P7,C190,1,160000
S2024_022,26-03-2024,P8,C215,1,230000
S2024_023,26-01-2024,P11,C75,1,250000
S2024_024,26-09-2024,P5,C133,1,170000
S2024_025,31-08-2024,P9,C55,1,190000
S2024_026,22-03-2024,P10,C230,1,175000
S2024_027,21-09-2024,P15,C84,1,240000
S2024_028,15-09-2024,P12,C176,1,220000
S2024_029,24-06-2024,P14,C205,1,155000
S2024_030,16-12-2024,P3,C29,1,180000
S2024_031,15-11-2024,P6,C98,1,210000
S2024_032,31-01-2024,P4,C188,1,200000
S2024_033,24-07-2024,P1,C115,1,120000
S2024_034,05-06-2024,P7,C260,1,160000
S2024_035,10-09-2024,P11,C17,1,250000
S2024_036,07-02-2024,P5,C143,1,170000
S2024_037,17-11-2024,P8,C90,1,230000
S2024_038,04-05-2024,P9,C212,1,190000
S2024_039,26-05-2024,P12,C301,1,220000
S2024_040,11-12-2024,P15,C170,1,240000
S2024_041,22-10-2024,P12,C234,1,220000
S2024_042,11-12-2024,P13,C325,1,140000
S2024_043,16-04-2024,P6,C155,1,210000
S2024_044,25-01-2024,P9,C270,1,190000
S2024_045,21-11-2024,P2,C139,1,150000
S2024_046,31-10-2024,P15,C121,1,240000
S2024_047,10-04-2024,P7,C234,1,160000
S2024_048,21-01-2024,P6,C302,1,210000
S2024_049,06-08-2024,P2,C228,1,150000
S2024_050,24-08-2024,P8,C89,1,230000
S2024_051,21-09-2024,P3,C170,1,180000
S2024_052,14-02-2024,P2,C147,1,150000
S2024_053,19-04-2024,P13,C282,1,140000
S2024_054,04-04-2024,P8,C178,1,230000
S2024_055,21-12-2024,P14,C142,1,155000
S2024_056,19-09-2024,P5,C239,1,170000
S2024_057,27-06-2024,P4,C202,1,200000
S2024_058,01-12-2024,P1,C215,1,120000
S2024_059,25-04-2024,P4,C158,1,200000
S2024_060,25-07-2024,P13,C174,1,140000
S2024_061,04-07-2024,P6,C31,1,210000
S2024_062,01-02-2024,P7,C309,1,160000
S2024_063,22-03-2024,P10,C95,1,175000
S2024_064,25-07-2024,P12,C314,1,220000
S2024_065,31-05-2024,P2,C150,1,150000
S2024_066,03-05-2024,P2,C109,1,150000
S2024_067,10-08-2024,P13,C272,1,140000
S2024_068,12-05-2024,P5,C100,1,170000
S2024_069,26-10-2024,P15,C164,1,240000
S2024_070,13-03-2024,P6,C156,1,210000
S2024_071,31-07-2024,P13,C85,1,140000
S2024_072,12-09-2024,P2,C315,1,150000
S2024_073,03-01-2024,P9,C281,1,190000
S2024_074,24-12-2024,P14,C29,1,155000
S2024_075,30-03-2024,P12,C262,1,220000
S2024_076,13-11-2024,P10,C46,1,175000
S2024_077,14-11-2024,P5,C212,1,170000
S2024_078,28-11-2024,P6,C121,1,210000
S2024_079,15-05-2024,P1,C103,1,120000
S2024_080,09-07-2024,P1,C269,1,120000
S2024_081,23-07-2024,P2,C252,1,150000
S2024_082,15-05-2024,P15,C231,1,240000
S2024_083,24-03-2024,P9,C235,1,190000
S2024_084,27-09-2024,P11,C206,1,250000
S2024_085,29-04-2024,P9,C66,1,190000
S2024_086,03-03-2024,P14,C241,1,155000
S2024_087,19-08-2024,P10,C242,1,175000
S2024_088,18-05-2024,P6,C250,1,210000
S2024_089,21-10-2024,P6,C253,1,210000
S2024_090,28-05-2024,P11,C233,1,250000
S2024_091,28-09-2024,P5,C89,1,170000
S2024_092,28-02-2024,P4,C19,3,200000
S2024_093,08-04-2024,P9,C243,1,190000
S2024_094,01-09-2024,P10,C237,1,175000
S2024_095,10-10-2024,P11,C233,1,250000
S2024_096,10-01-2024,P14,C131,1,155000
S2024_097,30-09-2024,P6,C290,1,210000
S2024_098,21-09-2024,P10,C30,1,175000
S2024_099,06-04-2024,P10,C109,1,175000
S2024_100,22-06-2024,P12,C9,1,220000
S2024_101,19-09-2024,P5,C188,1,170000
S2024_102,16-05-2024,P2,C210,1,150000
S2024_103,25-12-2024,P15,C226,1,240000
S2024_104,14-02-2024,P12,C133,1,220000
S2024_105,10-08-2024,P13,C17,1,140000
S2024_106,13-05-2024,P7,C203,1,160000
S2024_107,05-12-2024,P4,C41,1,200000
S2024_108,12-10-2024,P15,C79,1,240000
S2024_109,24-05-2024,P3,C160,1,180000
S2024_110,07-02-2024,P12,C232,1,220000
S2024_111,09-12-2024,P4,C87,1,200000
S2024_112,25-02-2024,P8,C163,4,230000
S2024_113,16-06-2024,P3,C54,1,180000
S2024_114,17-07-2024,P7,C283,1,160000
S2024_115,19-12-2024,P10,C105,1,175000
S2024_116,18-04-2024,P3,C102,1,180000
S2024_117,27-09-2024,P1,C96,1,120000
S2024_118,27-09-2024,P14,C123,1,155000
